code,display,definition,language,source,version,category,subcategory,sanskrit_name,english_name,dosha_relation,body_part,severity,treatment_approach
NAM-AY-0001,Jwara,Fever or pyrexia - elevated body temperature above normal range,en,NAMASTE CSV,1.0,General Conditions,Fever,Jwara,Fever,Pitta,Whole Body,Moderate,Antipyretic herbs and cooling therapies
NAM-AY-0002,Agni Mandya,Digestive fire weakness leading to poor digestion and metabolism,en,NAMASTE CSV,1.0,Digestive System,Digestive Disorders,Agni Mandya,Digestive Fire Weakness,Kapha,Digestive System,Mild to Moderate,Digestive stimulants and dietary modifications
NAM-AY-0003,Kasa,Cough - reflex action to clear airways of irritants and mucus,en,NAMASTE CSV,1.0,Respiratory System,Cough,Kasa,Cough,Vata,Respiratory System,Moderate,Expectorants and respiratory tonics
NAM-AY-0004,Kushta,Skin diseases including various dermatological conditions,en,NAMASTE CSV,1.0,Skin Conditions,Dermatological Disorders,Kushta,Skin Disease,Kapha,Skin,Moderate to Severe,Detoxification and skin-specific treatments
NAM-AY-0005,Unmada,Mental disorders including psychosis and behavioral disturbances,en,NAMASTE CSV,1.0,Mental Health,Psychiatric Conditions,Unmada,Mental Disorder,Vata,Mind,Severe,Mental health therapies and nervine tonics
NAM-AY-0006,Shirashoola,Headache - pain in the head or neck region,en,NAMASTE CSV,1.0,Neurological Conditions,Head Pain,Shirashoola,Headache,Vata,Head,Moderate,Analgesic herbs and head-specific treatments
NAM-AY-0007,Atisara,Diarrhea - frequent loose or liquid bowel movements,en,NAMASTE CSV,1.0,Digestive System,Digestive Disorders,Atisara,Diarrhea,Vata,Digestive System,Moderate,Antidiarrheal herbs and digestive restoration
NAM-AY-0008,Shwasa,Respiratory disorders including asthma and breathing difficulties,en,NAMASTE CSV,1.0,Respiratory System,Breathing Disorders,Shwasa,Breathing Disorder,Vata,Respiratory System,Moderate to Severe,Bronchodilators and respiratory support
NAM-AY-0009,Netra Roga,Eye diseases and vision-related disorders,en,NAMASTE CSV,1.0,Eye Conditions,Ocular Disorders,Netra Roga,Eye Disease,Pitta,Eyes,Moderate,Eye-specific treatments and vision support
NAM-AY-0010,Hridroga,Heart diseases and cardiovascular conditions,en,NAMASTE CSV,1.0,Cardiovascular System,Heart Conditions,Hridroga,Heart Disease,Pitta,Heart,Severe,Cardiovascular support and heart tonics
NAM-AY-0011,Medoroga,Obesity and metabolic disorders related to fat tissue,en,NAMASTE CSV,1.0,Metabolic Conditions,Obesity,Medoroga,Obesity,Kapha,Whole Body,Moderate,Weight management and metabolic support
NAM-AY-0012,Prameha,Diabetes and urinary disorders including excessive urination,en,NAMASTE CSV,1.0,Metabolic Conditions,Diabetes,Prameha,Diabetes,Kapha,Urinary System,Moderate to Severe,Blood sugar management and urinary support
